Order,Species,rawdistance,rawstrain,rawstress,rawinitial,rawfinal,standistance,stanstrain,stanstress,staninitial,stanfinal
Red,Polyneura,4.5,0.104,1.93,17.02,12.93,-0.526315789,-0.067264574,0.254672517,0.066583111,0.374800638
Red,Polyneura,7,0.089,1.522,24.07,12.11,-0.263157895,-0.201793722,-0.010563953,0.508381639,0.287612972
Red,Polyneura,11.5,0.104,1.436,15.7,9.79,0.210526316,-0.067264574,-0.06647164,-0.016136613,0.040935673
Red,Polyneura,15,0.149,1.265,7.04,2.79,0.578947368,0.33632287,-0.177636925,-0.558828137,-0.703349282
Red,Sparlingia,5.5,0.289,4.45,31.2,10.08,-0.716738197,0.008139535,0.178807947,0.923946557,-0.116177115
Red,Sparlingia,13,0.38,4.85,18.65,10.22,-0.330472103,0.325581395,0.284768212,0.150051387,-0.103901797
Red,Sparlingia,16.5,0.368,3.73,12.63,9.07,-0.150214592,0.28372093,-0.01192053,-0.221171634,-0.204734765
Red,Sparlingia,23.5,0.235,3.6,18.01,15.41,0.210300429,-0.180232558,-0.046357616,0.110585817,0.351161771
Red,Sparlingia,29.5,0.165,2.01,7.36,11.11,0.519313305,-0.424418605,-0.467549669,-0.54614594,-0.025865848
Red,Sparlingia,28.5,0.283,4.01,9.45,12.54,0.467811159,-0.012790698,0.062251656,-0.417266187,0.099517755
Red,Cryptonemia,19,0.259,1.763,4.89,6.19,0.428571429,-0.076319544,-0.29350004,-0.526346377,-0.14384509
Red,Cryptonemia,15.5,0.27,1.841,8.77,5.21,0.165413534,-0.037089872,-0.262242526,-0.150523053,-0.279391425
Red,Cryptonemia,9,0.405,4.149,14.06,8.57,-0.323308271,0.444365193,0.662659293,0.361875242,0.185338866
Red,Cryptonemia,6.5,0.148,2.077,12.98,11.34,-0.511278195,-0.472182596,-0.16766851,0.257264626,0.56846473
Red,Cryptonemia,16.5,0.32,2.647,10.92,4.84,0.240601504,0.141226819,0.060751783,0.057729562,-0.330567082
Red,M.splendens,5,0.503,1.685,1.84,4.01,-0.754098361,-0.108419498,-0.147770378,0.24003145,-0.126361656
Red,M.splendens,10,0.174,1.714,0.553,4.47,-0.508196721,-0.691580502,-0.133102925,-0.627316635,-0.026143791
Red,M.splendens,17.5,0.568,1.814,1.68,4.33,-0.139344262,0.006794682,-0.082525499,0.132202628,-0.05664488
Red,M.splendens,21.5,0.705,2.569,1.53,5.41,0.057377049,0.249630724,0.299334064,0.031113108,0.178649237
Red,M.splendens,36.5,0.724,2.026,1.62,4.81,0.795081967,0.283308715,0.024698643,0.09176682,0.047930283
Red,M.splendens,31.5,0.711,2.055,1.68,4.51,0.549180328,0.260265879,0.039366096,0.132202628,-0.017429194
Red,P_hecatensis,8,0.116,0.67,5.149,4.63,-0.704615385,-0.56281407,-0.431158908,0.301402755,-0.158181818
Red,P_hecatensis,18.5,0.108,0.52,3.87,5.09,-0.316923077,-0.592964824,-0.558511391,-0.021862757,-0.074545455
Red,P_hecatensis,25,0.161,0.916,4.38,5.57,-0.076923077,-0.39321608,-0.222300835,0.10703905,0.012727273
Red,P_hecatensis,31,0.31,1.747,3.85,5.75,0.144615385,0.168341709,0.483231923,-0.02691773,0.045454545
Red,P_hecatensis,37,0.641,1.831,3.14,6.17,0.366153846,1.415829146,0.554549314,-0.206369266,0.121818182
Red,P_hecatensis,43,0.256,1.383,3.35,5.79,0.587692308,-0.035175879,0.174189897,-0.153292051,0.052727273
Red,C_exasperatus,6.5,0.249,1.925,8.07,6.71,-0.755376344,-0.243817787,0.253721623,0.545554036,0.342383538
Red,C_exasperatus,11,0.268,1.338,5.96,4.78,-0.586021505,-0.186117137,-0.128582062,0.141450068,-0.043726779
Red,C_exasperatus,19,0.353,1.452,4.54,4.63,-0.284946237,0.072017354,-0.05433569,-0.130506156,-0.073735353
Red,C_exasperatus,30,0.18,1.01,5.66,5.35,0.129032258,-0.453362256,-0.342203201,0.083994528,0.070305802
Red,C_exasperatus,35.5,0.443,1.79,4.32,4.86,0.336021505,0.345336226,0.165798288,-0.172640219,-0.027722206
Red,C_exasperatus,38.5,0.414,1.735,4.73,4.86,0.448924731,0.257266811,0.12997767,-0.094117647,-0.027722206
Red,C_exasperatus,45.5,0.398,1.498,3.27,3.8,0.712365591,0.20867679,-0.024376628,-0.37373461,-0.239782795
Red,P_mollis,6,0.292,2.906,9.82,6.71,-0.5,-0.00284576,0.735961768,0.782214156,0.232700551
Red,P_mollis,9,0.323,1.649,5.85,5.8,-0.25,0.103016505,-0.014934289,0.061705989,0.065523576
Red,P_mollis,15,0.274,1.658,5.49,5.77,0.25,-0.064314172,-0.009557945,-0.003629764,0.060012247
Red,P_mollis,18,0.329,1.414,3.26,5.21,0.5,0.123505976,-0.155316607,-0.408348457,-0.042865891
Red,P_mollis,10.5,0.232,1.126,5.37,5.05,-0.125,-0.207740467,-0.327359618,-0.025408348,-0.072259645
Red,P_mollis,13.5,0.307,1.291,3.27,4.12,0.125,0.048377917,-0.228793309,-0.406533575,-0.243110839
Red,Opuntiella,4.5,0.312,3.199,14.21,5.74,-0.5,0.087108014,0.087910219,0.202453988,-0.242244224
Red,Opuntiella,7,0.259,2.441,11.6,7.95,-0.222222222,-0.097560976,-0.16986907,-0.018404908,0.04950495
