container,run,seastar1Arm_length,seastar2Arm_length,mean_arm_length,mussel_size_mm,eaten_day_seastar,g_eaten_day,feeding_time_2
A1,3_26,25,30,27.5,10,5.5,0.59785,12.12291667
A2,3_26,24,25,24.5,10,4.1,0.44567,9.037083333
A1,3_31,19.6,21.6,20.6,10,2.5,0.27175,5.510416667
A2,3_31,20,25,22.5,10,3.5,0.38045,7.714583333
A1,4_12,25.6,28.4,27,10,6,0.6522,13.225
A2,4_12,26.6,24.4,25.5,10,5,0.5435,11.02083333
B1,3_26,23,25,24,15,2.3,0.67114,7.206666667
B2,3_26,27,25,26,15,3.1,0.90458,9.713333333
B1,3_31,23.8,25.6,24.7,15,1.75,0.51065,5.483333333
B2,3_31,21.8,25.2,23.5,15,0.75,0.21885,2.35
B1,4_12,24,27,25.5,15,1,0.2918,3.133333333
B2,4_12,25.2,29,27.1,15,3.75,1.09425,11.75
C1,3_26,25,27,26,20,0.8,0.47024,4.728888889
C2,3_26,30,22,26,20,1.1,0.64658,6.502222222
C1,3_31,21,23.6,22.3,20,0.5,0.2939,2.955555556
C2,3_31,22.4,26.2,24.3,20,0.75,0.44085,4.433333333
C1,4_12,27.2,26.6,26.9,20,1.25,0.73475,7.388888889
C2,4_12,26.2,28.2,27.2,20,0.75,0.44085,4.433333333
D1,3_26,27,27,27,25,0.6,0.6072,3.685
D2,3_26,28,27,27.5,25,0.7,0.7084,4.299166667
D1,3_31,25.6,20,22.8,25,0.5,0.506,3.070833333
D2,3_31,22,24.4,23.2,25,0.75,0.759,4.60625
D1,4_12,26.8,28.6,27.7,25,1,1.012,6.141666667
D2,4_12,27.6,25,26.3,25,1.25,1.265,7.677083333
