Trial,Seastar,Prey_size,Wet_weight,Handling_time_min,Profitability_g_per_min,feeding_time_1_hr_d,
08-11-20,11,10,11.93,146,0.000744916,10.78777778,
08-11-20,18,10,17.62,104,0.001045747,7.684444444,
08-11-20,20,10,11.78,146,0.000744916,10.78777778,
08-11-21,34,10,14.38,133,0.000817727,9.827222222,
08-11-20,2,15,17.61,150,0.001945563,5.270833333,
08-11-20,9,15,11.29,160,0.001823965,5.622222222,
08-11-20,15,15,14.03,169,0.001726831,5.938472222,
08-11-21,29,15,15.94,273,0.001068991,9.592916667,
08-11-20,3,20,9.84,389,0.001511255,5.564861111,
08-11-20,5,20,18.32,259,0.0022698,3.705138889,
08-11-20,17,20,15.63,416,0.001413169,5.951111111,
08-11-20,10,25,15.31,357,0.002834895,4.76,
08-11-20,14,25,16.98,380,0.002663309,5.066666667,
