Genotype,Cohort
MM,old
MM,old
MM,old
MM,old
MM,old
MM,old
MM,old
MM,old
MM,old
MM,old
MM,old
MM,old
MM,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
MV,old
VV,old
VV,old
VV,old
VV,old
VV,old
VV,old
VV,old
VV,old
VV,old
VV,old
VV,old
VV,old
VV,old
VV,old
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MM,young
MV,young
MV,young
MV,young
MV,young
MV,young
MV,young
MV,young
MV,young
MV,young
MV,young
MV,young
MV,young
VV,young
VV,young
VV,young
VV,young
VV,young
VV,young
VV,young
VV,young
VV,young
VV,young
VV,young
VV,young
VV,young
VV,young
