Species,Island,Ecomorph,Series.Clade
Anolis brunneus,Bahamas,Trunk-Crown,carolinensis
Anolis fairchildi,Bahamas,Trunk-Crown,carolinensis
Anolis smaragdinus,Bahamas,Trunk-Crown,carolinensis
Anolis ernestwilliamsi,Carrot Rock,Trunk-Ground,cristatellus
Anolis baracoae,Cuba,Crown-Giant,equestris
Anolis equestris,Cuba,Crown-Giant,equestris
Anolis luteogularis,Cuba,Crown-Giant,equestris
Anolis noblei,Cuba,Crown-Giant,equestris
Anolis pigmaequestris,Cuba,Crown-Giant,equestris
Anolis smallwoodi,Cuba,Crown-Giant,equestris
Anolis alfaroi ,Cuba,Grass-Bush,alutaceus
Anolis alutaceus,Cuba,Grass-Bush,alutaceus
Anolis anfiloquioi,Cuba,Grass-Bush,alutaceus
Anolis clivicola,Cuba,Grass-Bush,alutaceus
Anolis cupeyalensis,Cuba,Grass-Bush,alutaceus
Anolis cyanopleurus,Cuba,Grass-Bush,alutaceus
Anolis fugitivus,Cuba,Grass-Bush,alutaceus
Anolis inexpectatus,Cuba,Grass-Bush,alutaceus
Anolis juangundlachi,Cuba,Grass-Bush,alutaceus
Anolis macilentus,Cuba,Grass-Bush,alutaceus
Anolis ophiolepis,Cuba,Grass-Bush,sagrei
Anolis rejectus,Cuba,Grass-Bush,alutaceus
Anolis spectrum,Cuba,Grass-Bush,alutaceus
Anolis vanidicus,Cuba,Grass-Bush,alutaceus
Anolis vescus,Cuba,Grass-Bush,alutaceus
Anolis loysianus,Cuba,Trunk,angusticeps
Anolis allisoni,Cuba,Trunk-Crown,carolinensis
Anolis altitudinalis,Cuba,Trunk-Crown,carolinensis
Anolis incredulus,Cuba,Trunk-Crown,carolinensis
Anolis isolepis,Cuba,Trunk-Crown,carolinensis
Anolis oporinus,Cuba,Trunk-Crown,carolinensis
Anolis porcatus,Cuba,Trunk-Crown,carolinensis
Anolis toldo,Cuba,Trunk-Crown,carolinensis
Anolis ahli ,Cuba,Trunk-Ground,sagrei
